Country (Name),ASFIS species (Name),FAO major fishing area (Name),Detailed production source (Name),Unit (Name),Unit,[1950],S,[1951],S,[1952],S,[1953],S,[1954],S,[1955],S,[1956],S,[1957],S,[1958],S,[1959],S,[1960],S,[1961],S,[1962],S,[1963],S,[1964],S,[1965],S,[1966],S,[1967],S,[1968],S,[1969],S,[1970],S,[1971],S,[1972],S,[1973],S,[1974],S,[1975],S,[1976],S,[1977],S,[1978],S,[1979],S,[1980],S,[1981],S,[1982],S,[1983],S,[1984],S,[1985],S,[1986],S,[1987],S,[1988],S,[1989],S,[1990],S,[1991],S,[1992],S,[1993],S,[1994],S,[1995],S,[1996],S,[1997],S,[1998],S,[1999],S,[2000],S,[2001],S,[2002],S,[2003],S,[2004],S,[2005],S,[2006],S,[2007],S,[2008],S,[2009],S,[2010],S,[2011],S,[2012],S,[2013],S,[2014],S,[2015],S,[2016],S,[2017],S,[2018],S,[2019],S,[2020],S,[2021],S,[2022],S,[2023],S,[2024],S
India,Giant tiger prawn,"Indian Ocean, Eastern",Aquaculture production (brackishwater),Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,20,I,50,I,110,I,250,I,424,I,696,I,1382,I,1906,I,2523,I,3124,I,3868,I,4790,I,5933,I,7346,I,10000,I,13000,I,14000,I,15000,I,20000,I,28000,I,29900,,34300,,41100,,54500,,74300,,64000,,64400,,60925,,76900,,73700,,90975,,97100,,108990,,108680,,112371,,129705,,130155,,92865,,69800,I,90080,,0,...,125000,I,126900,,78300,,70389,,82043,,57330,,58450,,59000,I,34615,,31032,,37945,,59356,,85907,,93516,
India,Grass carp(=White amur),Asia - Inland waters,Aquaculture production (freshwater),Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,13208,,10585,,14435,,15305,,31039,,123100,,137200,,130400,,49767,,70011,,120086,,0,...,0,...,0,...,0,...,0,...,0,...,25118,,103330,,123240,,17400,I,18000,I,19000,I,20000,I,21000,I,24000,I,27000,I,29072,,31100,I,34200,I,36936,,41132,
India,Green mussel,"Indian Ocean, Western",Aquaculture production (marine),Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,27,,200,,609,,800,,1000,,1250,,2000,,3250,,4500,,10060,,7894,,16789,,18432,,14817,,9956,,8703,,9450,I,9500,I,8700,I,500,I,1000,I,2000,I,2010,I,4000,,5000,I,5000,I,6000,,6241,
India,Indian white prawn,"Indian Ocean, Eastern",Aquaculture production (brackishwater),Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,5100,,5700,,5700,,7500,,8600,,6000,,6000,,5943,,5734,,4870,,5740,,5830,,5980,,4560,,5218,,1100,,1380,,6500,,10600,I,5200,,0,...,1200,I,1300,,700,,1419,,2368,,2637,,1311,,1300,I,1024,,1209,,1200,I,1300,I,1400,I,1545,
India,Kelee shad,Asia - Inland waters,Aquaculture production (freshwater),Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,47,,1,,35,,206,,56,,132,,181,,67,,60,I,60,I,60,I,60,I,63,,184,,180,I,180,I,200,I,200,I,200,I,200,I,203,,200,I,200,I,216,,238,
India,Manipur osteobrama,Asia - Inland waters,Aquaculture production (freshwater),Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,,864,,1189,,901,,1000,I,1200,I,1500,I,1750,I,1900,I,2100,I,2150,I,2250,I,2250,I,2300,I,2300,,2400,I,2450,I,2500,I,2637,
India,Marine fishes NEI,"Indian Ocean, Eastern",Aquaculture production (brackishwater),Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,,0,...,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1429,,1740,,0,...,0,...,0,...,0,...,2644,,8000,,17000,I,75000,,42102,,183570,I,127779,I,18693,,52808,,80264,I,85400,I,83000,I,81000,I,79900,I,85100,I,98250,I,113000,I,118724,,127200,I,139700,I,150876,,154630,
India,Monsoon river prawn,Asia - Inland waters,Aquaculture production (freshwater),Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,227,,245,,3938,,4039,,4100,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
India,Mrigal carp,Asia - Inland waters,Aquaculture production (freshwater),Tonnes - live weight,"TLW, Number",678,I,780,I,898,I,1034,I,1191,I,1371,I,1578,I,1816,I,2091,I,2407,I,2771,I,3190,I,3672,I,4228,I,4867,I,5603,I,6450,I,7425,I,8548,I,9840,I,11328,I,13041,I,15012,I,17282,I,19895,I,22903,I,26366,I,30352,I,34941,I,40224,I,46306,I,53307,I,61367,I,70645,I,88000,I,97000,I,106000,I,123000,I,141000,I,158000,I,158598,,187560,,293182,,332600,,343980,,387470,,460000,,480000,,426200,,469700,,470500,,353211,,401545,,398537,,221064,,217127,,109033,,145287,,281525,,304767,,87686,,131793,,165782,,159028,,170000,I,182000,I,190000,I,203000,I,234000,I,265700,I,289619,,310200,I,340700,I,374956,,391807,
India,Nile tilapia,Asia - Inland waters,Aquaculture production (freshwater),Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,5000,I,6000,I,7000,I,7800,I,8500,I,9000,I,10000,I,11000,I,12000,I,13000,I,14000,I,15000,I,16500,I,18000,I,19000,I,20000,I,20947,
