year,production_tonnes,environments,observations
2009,1730.0,1,1
2011,125000.0,1,1
2012,136300.0,1,1
2013,211200.0,1,1
2014,305251.0,1,1
2015,416347.0,1,1
2016,461302.0,1,1
2017,583400.0,1,1
2018,622000.0,1,1
2019,724267.0,1,1
2020,894772.0,1,1
2021,997263.0,1,1
2022,973540.0,1,1
2023,1153339.0,1,1
2024,1183453.0,2,2
