pond_id,region,stocking_date,harvest_date,culture_days,stocking_type,harvest_type,species,pond_area_acres,pond_area_m2,pond_depth_m,observed_stocking_density_per_acre,derived_stocking_count,production_kg,stocking_to_harvest_days,classification,flags
ara2_039a9ccb,Nellore,2022-04-21,2022-06-26,66,Stocking,Partial harvest,"Rohu (Labeo rohita), Catla (Catla catla), Whiteleg Shrimp (Litopenaeus vannamei), Pangasius",,,1.5,80000.0,,104.0,66,REJECTED,missing_pond_area
ara2_039a9ccb,Nellore,2022-04-21,2022-07-28,98,Stocking,Partial harvest,"Rohu (Labeo rohita), Catla (Catla catla), Whiteleg Shrimp (Litopenaeus vannamei), Pangasius",,,1.5,80000.0,,400.0,98,REJECTED,missing_pond_area
